Nicolas Alexis 	camerun	27-03-1990	180	32	Aris	Defensa	00	00	
Christopher Wooh	camerun	18-09-2001	191	21	Nantes	Defensa	00	00	
Georges Kevin Nkoudou	camerun	13-02-1995	172	27	Besiktas	Defensa	00	00	
Olivier Ntcham	camerun	09-02-1996	180	26	Swansea	mediocampista	00	00	
Gael Ondoa	camerun	04-11-1995	185	27	Hannover 96	mediocampista	00	00	
Martin Hongla	camerun	16-03-1998	182	24	Hellas Verona	mediocampista	00	00	
Pierre Kunde	camerun	26-07-1995	180	27	Olympiakos	mediocampista	00	00	
Samuel Oum Gouet	camerun	14-12-1997	179	24	Malines	mediocampista	00	00	
Andre Frank Zambo Anguissa	camerun	16-11-1995	184	27	Napoles	mediocampista	00	00	
Brice Ngamaleu	camerun	09-07-1994	181	28	Dynamo Moscu	mediocampista	00	00	
Jerome Ngom	camerun	30-09-1998	174	24	Colombe Sportive	delantero	00	00	
Marou Souaibou	camerun	03-12-2000	180	22	Coton Sport	delantero	00	00	
Christian Bassogog	camerun	18-10-1995	173	27	Shanghai Shenhua	delantero	00	00	
Bryan Mbeumo	camerun	07-08-1999	171	23	Brentford	delantero	00	00	
Jean Pierre Nsame	camerun	01-05-1993	188	29	Young Boys	delantero	00	00	
Vincent Aboubakar	camerun	22-02-1992	184	30	Al-Nassr	delantero	00	00	
Karl Toko-Ekambi	camerun	14-09-1992	185	30	Lyon	delantero	00	00	
Eric Maxim Choupo-Moting	camerun	23-03-1989	191	33	Bayern Munich	delantero	00	00	
James Pantemis	canada	21-02-1997	188	25	CF Montreal	portero	00	00	
Milan Borjan	canada	23-10-1987	196	35	Red Star Belgrado	portero	00	00	
Dayne St. Clair	canada	09-05-1997	191	25	Minnesota United	portero	00	00	
Samuel Adekugbe	canada	16-02-1995	175	27	Hatayspor	Defensa	00	00	
Joel Waterman	canada	24-02-1996	188	26	CF Montreal	Defensa	00	00	
Alistair Johnston	canada	08-10-1998	180	24	CF Montreal	Defensa	00	00	
Richie Laryea	canada	07-01-1995	175	27	Toronto FC	Defensa	00	00	
Kamal Miller	canada	16-05-1997	183	25	CF Montreal	Defensa	00	00	
Steven Vitória	canada	11-01-1987	195	35	Chaves	Defensa	00	00	
Derek Cornelius	canada	25-11-1997	187	25	Panetolikos	Defensa	00	00	
Liam Fraser	canada	13-02-1998	185	24	KMSK Deinze	mediocampista	00	00	
Ismael Kone	canada	16-06-2002	188	20	CF Montreal	mediocampista	00	00	
Mark Anthony Kaye	canada	02-12-1994	185	28	Toronto FC	mediocampista	00	00	
David Wotherspoon	canada	16-01-1990	181	32	St Johnstone	mediocampista	00	00	
Jonathan Osorio	canada	12-06-1992	175	30	Toronto FC	mediocampista	00	00	
Atiba Hutchinson	canada	08-02-1983	187	39	Besiktas	mediocampista	00	00	
Stephen Eustaquio	canada	21-12-1996	175	25	Oporto	mediocampista	00	00	
Samuel Piette	canada	12-11-1994	171	28	CF Montreal	mediocampista	00	00	
Liam Millar	canada	27-09-1999	181	23	Basilea	delantero	00	00	
Lucas Cavallini	canada	28-12-1992	175	29	Vancouver Whitecaps	delantero	00	00	
Ike Ugbo	canada	21-09-1998	186	24	Troyes	delantero	00	00	
Tajon Buchanan	canada	08-02-1999	183	23	Brujas	delantero	00	00	
Jonathan David	canada	14-01-2000	180	22	Lille	delantero	00	00	
Cyle Larin	canada	17-04-1995	188	27	Brujas	delantero	00	00	
Alphonso Davies	canada	02-11-2000	183	22	Bayern Munich	delantero	00	00	
Junior Hoilett	canada	05-06-1990	173	32	Reading FC	delantero	00	00	
Keylor Antonio Navas Gamboa	Costarricense	15-12-1986	185	35	París Saint-Germain F. C.	Portero	00	00	
Esteban Alvarado Brown	Costarricense	28-04-1989	193	33	C. S. Herediano	Portero	00	00	
Patrick Gilmar Sequeira Mejías	Costarricense	01-03-1999	190	23	Club Deportivo Lugo	Portero	00	00	
Francisco Javier Calvo Quesada	Costarricense	08-12-1992	181	30	Konyaspor	Defensa	00	00	
Juan Pablo Vargas Campos	Costarricense	06-06-1995	192	27	Millonarios	Defensa	00	00	
Kendall Jamaal Waston Manley	Costarricense	01-01-1988	196	34	Deportivo Saprissa	Defensa	00	00	
Óscar Esaú Duarte Gaitán	Costarricense	03-06-1989	186	33	Al Wehda F.C.	Defensa	00	00	
Daniel Alonso Chacón Salas	Costarricense	11-04-2001	183	21	Colorado Rapids 2	Defensa	00	00	
Keysher Fuller Spence	Costarricense	12-06-1994	183	28	C. S. Herediano	Defensa	00	00	
Carlos Manuel Martínez Castro	Costarricense	30-04-1999	175	23	L.D Alajuelense	Defensa	00	00	
Bryan Josué Oviedo Jiménez	Costarricense	18-02-1990	172	32	Real Salt Lake	Defensa	00	00	
Ronald Alberto Matarrita Ulate	Costarricense	05-09-1994	175	28	F. C. Cincinnati	Defensa	00	00	
Yeltsin Ignacio Tejeda Valverde	Costarricense	17-03-1992	179	30	C. S. Herediano	Volante	00	00	
Celso Borges Mora	Costarricense	27-05-1988	183	34	L. D. Alajuelense	Volante	00	00	
Youstin Delfín Salas Gómez	Costarricense	17-06-1996	168	26	Deportivo Saprissa	Volante	00	00	
Roan Roberto Wilson Gordon	Costarricense	01-04-2002	184	20	Municipal Grecia	Volante	00	00	
Gerson Torres Barrantes	Costarricense	28-08-1997	176	25	C. S. Herediano	Volante	00	00	
Douglas Andrey López Araya	Costarricense	21-09-1998	190	24	Club Sport Herediano	Volante	00	00	
Jewison Francisco Bennette Villegas	Costarricense	15-06-2004	175	18	Sunderland AFC	Volante	00	00	
Álvaro José Zamora Mata	Costarricense	09-03-2002	180	20	Deportivo Saprissa	Volante	00	00	
Anthony William Hernández González	Costarricense	11-10-2001	179	21	Puntarenas FC	Volante	00	00	
Brandon Aguilera Zamora	Costarricense	28-06-2003	181	19	A.D Guanacasteca	Volante	00	00	
Bryan Jafet Ruiz González	Costarricense	18-08-1985	188	37	L. D. Alajuelense	Volante	00	00	
Joel Nathaniel Campbell Samuels	Costarricense	26-06-1992	178	30	Club León	Delantero	00	00	
Anthony Daniel Contreras Enríquez	Costarricense	29-02-2000	180	22	Club Sport Herediano	Delantero	00	00	
Johan Alberto Venegas Ulloa	Costarricense	27-11-1988	183	34	L. D. Alajuelense	Delantero	00	00	
Dominik Livaković	Croata	09-01-1995	187	27	G. N. K. Dinamo de Zagreb	Portero	00	00	
Ivica Ivušić	Croata	01-02-1995	195	27	Osijek	Portero	00	00	
Ivo Grbic	Croata	18-01-1996	195	26	Atlético de Madrid	Portero	00	00	
Josip Stanisic	Croata	02-04-2000	187	22	Bayern de Múnich	Defensa	00	00	
Borna Barišić	Croata	10-11-1992	186	30	Rangers F. C.	Defensa	00	00	
Josip Sutalo	Croata	28-02-2000	190	22	G. N. K. Dinamo de Zagreb	Defensa	00	00	
Dejan Lovren	Croata	05-07-1989	188	33	Zenit de San Petersburgo	Defensa	00	00	
Borna Sosa	Croata	21-01-1998	187	24	VfB Stuttgart	Defensa	00	00	
Josko Gvardiol	Croata	23-01-2002	185	20	R. B. Leipzig	Defensa	00	00	
Domagoj Vida	Croata	29-04-1989	184	33	AEK Atenas F. C.	Defensa	00	00	
Josip Juranovic	Croata	16-08-1995	175	27	Celtic F. C.	Defensa	00	00	
Martin Erlic	Croata	24-01-1998	192	24	U. S. Sassuolo Calcio	Defensa	00	00	
Lovro Majer	Croata	17-01-1998	179	24	Stade Rennais F. C.	Volante	00	00	
Mateo Kovacic	Croata	06-05-1994	179	28	Chelsea F. C.	Volante	00	00	
Luka Modric	Croata	09-09-1985	172	37	Real Madrid C. F. 	Volante	00	00	
Marcelo Brozovic	Croata	16-11-1992	181	30	Inter de Milán	Volante	00	00	
Mario Pasalic	Croata	09-02-1995	188	27	Atalanta B. C.	Volante	00	00	
Nikola Vlasic	Croata	04-10-1997	178	25	Torino F. C.	Volante	00	00	
Luka Sucic	Croata	08-09-2002	185	20	Red Bull Salzburgo	Volante	00	00	
Kristijan Jakic	Croata	14-05-1997	187	25	Eintracht Frankfurt	Volante	00	00	
Ivan Perisic	Croata	02-02-1989	186	33	Tottenham Hotspur F. C.	Delantero	00	00	
Andrej Kramaric	Croata	19-06-1991	178	31	TSG 1899 Hoffenheim	Delantero	00	00	
Marko Livaja	Croata	26-08-1993	182	29	H. N. K. Hajduk Split	Delantero	00	00	
Bruno Petkovic	Croata	16-09-1994	193	28	G. N. K. Dinamo Zagreb	Delantero	00	00	
Ante Budimir	Croata	22-07-1991	190	31	Club Atlético Osasuna	Delantero	00	00	
Mislav Orsic	Croata	29-12-1992	178	29	G. N. K. Dinamo Zagreb	Delantero	00	00	
Kasper Peter Schmeichel	Danes	05-11-1986	189	36	O. G. C. Niza	Portero	00	00	
Frederik Ronnow	Danes	04-08-1992	190	30	Unión Berlín	Portero	00	00	
Oliver Christensen	Danes	22-03-1999	190	23	Hertha BSC	Portero	00	00	
Simon Thorup Kjær	Danes	26-03-1989	191	33	A. C. Milan	Defensa	00	00	
Andreas Bødtker Christensen	Danes	10-04-1996	187	26	F. C. Barcelona	Defensa	00	00	
Jens Stryger Larsen	Danes	21-02-1991	180	31	Trabzonspor	Defensa	00	00	
